id	question	question_alt	question_test_case	answer	not_for_mlt	not_for_search	not_append_mlt
10000035	信用卡帳單繳款提醒方式	"(信用卡)(帳單)(繳款)(提醒)(方式)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡帳單繳款提醒方式""}
"	"信用卡帳單繳款提醒方式
"	"若您在本行有登記電子信箱，繳款截止日前1~2天會自動發送繳款提醒。
※以下狀況不會發送提醒：
（1）帳單有設定自動轉帳
（2）本期帳單繳款總金額&lt;=0
（3）帳單逾期繳款超過1個月(含)以上
（4）發送提醒前已繳足最低應繳金額"	true	true	true
10000041	信用卡在威秀影城消費有什麼優惠	"(信用卡)(威秀)(影城)(消費)(哪些)(優惠)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡威秀影城消費哪些優惠""}
"	"信用卡威秀影城消費哪些優惠
"	"透過行動市集、威秀影城官網（APP）購票，享以下優惠：
<img alt="""" src=""http://cit01p181.intumit.com/wise/ckeditor-upload/2019-02-18/1550458861336.png"" style=""height:209px; width:350px"" />
*HAPPYGO聯名卡、喜憨兒卡不適用此優惠"	true	true	true
10000042	台亞全國加油站活動介紹	"(台)(亞)(全國加油站)(活動)(介紹)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""台亞全國加油站活動介紹""}
"	"台亞全國加油站活動介紹
"	"有的！持花旗信用卡於全國/台亞加油站，享汽油每公升最優降1.2元
<img src=""http://cit01p181.intumit.com/wise/ckeditor-upload/2019-02-22/1550838873771.png"" style=""height:107px; width:350px"" />
※活動期間：2019/1/1 ~ 2019/6/30
<span style=""font-size:16px""><span style=""color:rgb(192	0	0)"">❤</span></span>使用悠遊卡功能加油不適用此優惠喔
<ul>
	<li><a class=""answer-link"" href=""https://www.citibank.com.tw/global_docs/chi/cc/171227_gasoline/index.html"" target=""_blank"">立即前往活動網站</a></li>
</ul>
"	true	true	true
10000043	信用卡的年費計算標準	"(信用卡)(年費)(計算)(標準)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡年費計算標準""}
"	"信用卡年費計算標準
"	"以下為各卡別的年費標準：
<img alt="""" src=""http://cit01p181.intumit.com/wise/ckeditor-upload/2019-02-18/1550456815430.png"" style=""height:410px; width:360px"" />"	true	true	true
10000044	申請附卡需要有什麼親屬關係資格嗎	"(申請)(附卡)(需要)(哪些)(親屬關係)(資格)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""申請附卡需要哪些親屬關係資格""}
"	"申請附卡需要哪些親屬關係資格
"	"主附卡的關係資格必須為以下：
（1）配偶
（2）父母
（3）子女－需年滿15歲
（4）兄弟姊妹－需年滿20歲
（5）配偶父母－需附配偶身分證正反面影本"	true	true	true
10000045	信用卡申請文件	"(信用卡)(申請)(文件)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡申請文件""}
"	"信用卡申請文件
"	"申辦信用卡需要3項文件：
（1）身分證
（2）第二身分證件 (駕照或健保卡)
（3）財力證明
例如:薪資存摺(近3個月)/扣繳憑單(最新年度)"	true	true	true
10000051	申請滿福貸會有手續費嗎？	"(申請)(滿福貸)(有)(手續費)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""申請滿福貸有手續費""}
"	"申請滿福貸有手續費
"	"滿福貸每筆動用手續費為NT$5999，會在您的首期帳單收取此筆費用。

<span style=""font-size:16px""><span style=""color:rgb(192	0	0)"">❤</span></span>若款項匯入非本行帳戶，會收取匯款手續費NT$50"	true	true	true
10000052	滿福貸最快何時可以撥款？	"(滿福貸)(最快)(何時)(可以)(撥款)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""滿福貸最快何時可以撥款""}
"	"滿福貸最快何時可以撥款
"	滿福貸成功核貸後最快60分鐘撥款！！	true	true	true
10000053	信用貸款財力證明	"(信用貸款)(財力證明)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用貸款財力證明""}
"	"信用貸款財力證明
"	"請準備以下任一財力證明即可申請：
（1）扣繳憑單（最新年度）
（2）薪資存摺（近３個月）
（3）正式薪資單（近3個月）
（4）所得稅（清）單"	true	true	true
10000054	信用卡消費分期繳款方式	"(信用卡)(消費)(分期)(繳款)(方式)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡消費分期繳款方式""}
"	"信用卡消費分期繳款方式
"	帳單分期後，每期月付金會一併列入信用卡帳單，請於繳款截止日前繳費即可。	true	true	true
10000055	分期聰明付額度占用	"(分期聰明付)(額度)(占用)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""分期聰明付額度占用""}
"	"分期聰明付額度占用
"	帳單分期會佔用信用卡額度，但每個月繳款入帳後，額度會逐月恢復喔~	true	true	true
10000061	繳款未入帳處理方式	"(繳款)(未入帳)(處理方式)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""繳款未入帳處理方式""}
"	"繳款未入帳處理方式
"	"別擔心~備妥繳款證明後，請點選【客服即時通】由專員立即為您查詢繳款紀錄。
<ul>
	<li><a class=""answer-link"" href=""http://${transfer}"" target=""_blank"">客服即時通</a></li>
</ul>
"	true	true	true
10000062	查詢ATM轉帳繳款入帳時間	"(atm)(轉帳)(繳款)(入帳)(時間)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢ATM轉帳繳款入帳時間""}
"	"查詢ATM轉帳繳款入帳時間
"	"ATM轉帳繳款入帳時間：
15：30前繳款 - 下1個工作天入帳
15：30後繳款 - 下2個工作天入帳"	true	true	true
10000063	查詢超商繳款入帳時間	"(超商)(繳款)(入帳)(時間)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢超商繳款入帳時間""}
"	"查詢超商繳款入帳時間
"	超商繳款入帳時間需2~3個工作天，請您耐心等候唷！	true	true	true
10000064	查詢銀行匯款入帳時間	"(銀行)(匯款)(入帳)(時間)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢銀行匯款入帳時間""}
"	"查詢銀行匯款入帳時間
"	匯款(電匯)入帳時間需1~2個工作天！	true	true	true
10000065	查詢語音繳款入帳時間	"(語音)(繳款)(入帳)(時間)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢語音繳款入帳時間""}
"	"查詢語音繳款入帳時間
"	"使用本行語音繳款入帳時間：
【週一~週五】
20：30 前繳款 - 當日入帳
20：30 後繳款 - 下1個工作天入帳
【例假日】 - 下1個工作天入帳"	true	true	true
10040288	信用卡機場接送優惠	"(信用卡)(機場接送)(優惠)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡機場接送優惠""}
"	"信用卡機場接送優惠
"	"有的！機場接送最優$380起/趟 ，讓您往返機場更加從容優雅。
<ul>
	<li><a class=""answer-link"" href=""https://www.citibank.com.tw/sim/zh-tw/credit-cards/airport-pick-up.htm?card=1"" target=""_blank"">立即上車享優惠</a></li>
</ul>"	true	true	true
10170013	信用貸款月付金試算	"(信用貸款)(月付金)(試算)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用貸款月付金試算""}
"	"信用貸款月付金試算
"	"信貸的期數/利率將由專員為您試算~
<ul>
	<li><a class=""answer-link"" href=""tel:0800-600-666"" target=""_blank"">立即試算</a></li>
</ul>
"	true	true	true
10230071	分期聰明付分期試算	"(分期聰明付)(分期)(試算)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""分期聰明付分期試算""}
"	"分期聰明付分期試算
"	"您可透過活動網頁試算分期金額/期數/利率唷。

※活動資格請以網頁顯示為主
<ul>
	<li><a class=""answer-link"" href=""https://www.citibank.com.tw/global_docs/chi/cc/161013_rte/index2_pc.html?AgentCode=TML18000&amp;icid=TWCCXRTCNHOMECOMR"" target=""_blank"">立即試算</a></li>
</ul>"	true	true	true
10230221	線上訂房樂享優惠	"(上)(訂房)(樂)(享)(優惠)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""線上訂房樂享優惠""}
"	"線上訂房樂享優惠
"	"有的！透過花旗卡友專屬網站訂房樂享優惠 !
（1）Agoda-享最優9折優惠
（2）Hotels.com-享最優91折優惠
（3）Booking.com-享禮獻7%回饋
（4）Expedia-享最優91折優惠
<ul>
	<li><a class=""answer-link"" href=""https://www.citibank.com.tw/global_docs/chi/cc/150130_onlinehotel/index.htm"" target=""_blank"">前往專屬網站享優惠</a></li>
</ul>"	true	true	true
10230531	信用卡KKDAY優惠活動	"(信用卡)(kkday)(優惠活動)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡KKDAY優惠活動""}
"	"信用卡KKDAY優惠活動
"	"有的！「KKDAY暢玩世界 由你做主」
透過指定網站輸入<span style=""color:#00FFFF"">優惠代碼</span>享：
（1）全行程94折
　　 活動代碼：「<span style=""color:#00FFFF"">CITI2018</span>」
（2）日本一日遊行程9折
　 活動代碼：「<span style=""color:#00FFFF"">CITI201801</span>」
<ul>
	<li><a class=""answer-link"" href=""https://www.citibank.com.tw/global_docs/chi/cc/180628_kkday/index.html"" target=""_blank"">前往指定網站享優惠</a></li>
</ul>"	true	true	true
