id	question	question_alt	question_test_case
10000035	信用卡帳單繳款提醒方式	"(信用卡)(帳單)(繳款)(提醒)(方式)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡帳單繳款提醒方式""}
(會)(主動)(提醒)(繳款)(嗎) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""你們會主動提醒我繳款嗎？""}
"	"信用卡帳單繳款提醒方式
你們會主動提醒我繳款嗎？
"
10000041	信用卡在威秀影城消費有什麼優惠	"(信用卡)(威)(秀)(影城)(消費)(有)(什麼)(優惠) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""信用卡在威秀影城消費有什麼優惠？""}
(信用卡)(威)(秀)(影城)(消費)(哪些)(優惠) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""信用卡威秀影城消費哪些優惠""}
"	"信用卡在威秀影城消費有什麼優惠？
信用卡威秀影城消費哪些優惠
"
10000042	台亞全國加油站活動介紹	"(台)(亞)(全國加油站)(活動)(介紹)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""台亞全國加油站活動介紹""}
(信用卡)(加油)(有)(優惠)(嗎) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""信用卡加油有優惠嗎？""}
"	"台亞全國加油站活動介紹
信用卡加油有優惠嗎？
"
10000043	信用卡的年費計算標準	"(信用卡)(年費)(計算)(標準)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡年費計算標準""}
(信用卡)(年)(計算)(標準) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""信用卡的年費計算標準？""}
"	"信用卡年費計算標準
信用卡的年費計算標準？
"
10000044	申請附卡需要有什麼親屬關係資格嗎	"(申請)(附)(卡)(需要)(有)(什麼)(親屬關係)(資格)(嗎) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""申請附卡需要有什麼親屬關係資格嗎？""}
(申請)(附)(卡)(需要)(哪些)(親屬關係)(資格) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""申請附卡需要哪些親屬關係資格""}
"	"申請附卡需要有什麼親屬關係資格嗎？
申請附卡需要哪些親屬關係資格
"
10000045	信用卡申請文件	"(信用卡)(申請)(文件)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡申請文件""}
(人)(申辦)(信用卡)(需要)(什麼)(文件) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""本國人申辦信用卡需要什麼文件？""}
"	"信用卡申請文件
本國人申辦信用卡需要什麼文件？
"
10000051	申請滿福貸會有手續費嗎	"(申請)(福)(會)(有)(手續費)(嗎) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""申請滿福貸會有手續費嗎？""}
(申請)(滿福貸)(有)(手續費)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""申請滿福貸有手續費""}
"	"申請滿福貸會有手續費嗎？
申請滿福貸有手續費
"
10000052	滿福貸最快何時可以撥款	"(福)(最快)(何時)(可以)(撥款) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""滿福貸最快何時可以撥款？""}
(滿福貸)(最快)(何時)(可以)(撥款)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""滿福貸最快何時可以撥款""}
"	"滿福貸最快何時可以撥款？
滿福貸最快何時可以撥款
"
10000053	信用貸款財力證明	"(信用貸款)(財力證明)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用貸款財力證明""}
(申請)(信貸)(要)(準備)(哪些)(財力證明) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""申請信貸要準備哪些財力證明？""}
"	"信用貸款財力證明
申請信貸要準備哪些財力證明？
"
10000054	信用卡消費分期繳款方式	"(信用卡)(消費)(分期)(繳款)(方式)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""信用卡消費分期繳款方式""}
(帳單)(分期)(後)(什麼)(時候)(要)(繳款) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""帳單分期後我什麼時候要繳款？""}
"	"信用卡消費分期繳款方式
帳單分期後我什麼時候要繳款？
"
10000055	分期聰明付額度占用	"(帳單)(分期)(會)(不會)(占用)(信用卡)(額度) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""帳單分期會不會占用我的信用卡額度？""}
(分期聰明付)(額度)(占用)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""分期聰明付額度占用""}
"	"帳單分期會不會占用我的信用卡額度？
分期聰明付額度占用
"
10000061	繳款未入帳處理方式	"(已經)(繳款)(卻)(沒有)(查到)(繳款)(紀錄)(怎麼辦) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""我已經繳款了卻沒有查到繳款紀錄怎麼辦？""}
(繳款)(未入帳)(處理方式)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""繳款未入帳處理方式""}
"	"我已經繳款了卻沒有查到繳款紀錄怎麼辦？
繳款未入帳處理方式
"
10000062	查詢ATM轉帳繳款入帳時間	"(atm)(轉帳)(繳款)(什麼)(時候)(會)(入帳) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""ATM轉帳繳款什麼時候會入帳？""}
(atm)(轉帳)(繳款)(入帳)(時間)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢ATM轉帳繳款入帳時間""}
"	"ATM轉帳繳款什麼時候會入帳？
查詢ATM轉帳繳款入帳時間
"
10000063	查詢超商繳款入帳時間	"(超商)(繳款)(什麼)(時候)(會)(入帳) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""超商繳款什麼時候會入帳？""}
(超商)(繳款)(入帳)(時間)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢超商繳款入帳時間""}
"	"超商繳款什麼時候會入帳？
查詢超商繳款入帳時間
"
10000064	查詢銀行匯款入帳時間	"(匯款)(電匯)(繳款)(什麼)(時候)(會)(入帳) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""匯款(電匯)繳款什麼時候會入帳？""}
(銀行)(匯款)(入帳)(時間)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢銀行匯款入帳時間""}
"	"匯款(電匯)繳款什麼時候會入帳？
查詢銀行匯款入帳時間
"
10000065	查詢語音繳款入帳時間	"(語音)(繳款)(什麼)(時候)(會)(入帳) // {""alt.editor"":3,""testCase.editor"":3,""testCase"":""語音繳款什麼時候會入帳？""}
(語音)(繳款)(入帳)(時間)	 // {""alt.editor"":""1"",""testCase.editor"":""1"",""testCase"":""查詢語音繳款入帳時間""}
"	"語音繳款什麼時候會入帳？
查詢語音繳款入帳時間
"
